base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size,base_component_label,compare_component_label,base_display_label,compare_display_label
D_cvar_robust,factor_only,0.3572316183789136,-0.057847552938927196,0.9620497354983516,0.09,0.09224975933688137,0.02202675903041187,0.17258539415756732,0.015,0.12935077817861396,-0.18887923604147458,1.2379265538584634,0.24,400,20,D_cvar_robust,alpha_engine_no_control,D: CVaR-Robust,"No Control
(Alpha Engine)"
D_cvar_robust,A1_fixed,0.3530306648334651,-0.10109499717348493,0.9110930024873599,0.16,0.095700763974422,0.02099327274719277,0.17969883526208014,0.025,0.11063562982444564,-0.19398498619395374,1.231112871014013,0.305,400,20,D_cvar_robust,A1_fixed,D: CVaR-Robust,A1: Fixed
D_cvar_robust,A2_vol_target,0.44867639852055236,-0.12405024655755413,1.092156874059807,0.135,0.1245051313056838,0.03127750820581063,0.22468093259095223,0.015,0.07234798610865434,-0.6098628313098703,1.3616204923060695,0.445,400,20,D_cvar_robust,A2_vol_target,D: CVaR-Robust,A2: Vol-Target
D_cvar_robust,A3_dd_delever,0.5460234916683119,0.0470543717779235,1.1636201197805007,0.03,0.12682129348075522,0.03518152390533108,0.21438758419878623,0.0,0.24829793983239545,-0.04676919400838068,1.398239202771591,0.08,400,20,D_cvar_robust,A3_dd_delever,D: CVaR-Robust,A3: DD-Delever
D_cvar_robust,A4_regime_rules,0.30934198729951334,-0.15603141194493522,0.8275495468338704,0.2,0.09580246129609366,0.009715405335376235,0.16860002102939534,0.025,0.00420033783894691,-0.32522115262032986,1.1792750484932184,0.45,400,20,D_cvar_robust,A4_regime_rules,D: CVaR-Robust,A4: Regime Rules
D_cvar_robust,A5_ensemble_mean,0.4287286170918784,-0.0663875764017133,0.9706006083179725,0.085,0.11434141175534451,0.021403911523049882,0.1927707585283965,0.03,0.0824780383194943,-0.3041830535817382,1.2338738209322002,0.305,400,20,D_cvar_robust,A5_ensemble_mean,D: CVaR-Robust,"A5: Ensemble
(mean)"
D_cvar_robust,B1_linucb,0.431277506547901,0.0008666073370401852,0.9219267037599163,0.05,0.1085197114842834,0.036890777323115076,0.18400282710108332,0.005,0.17646900764446777,-0.11613998925335041,1.396099573875573,0.125,400,20,D_cvar_robust,B1_linucb,D: CVaR-Robust,B1: LinUCB
D_cvar_robust,B2_thompson,0.5132399926241042,0.10604857812889498,1.0927795000758906,0.01,0.11933417343796054,0.047824629413147794,0.18300853368625455,0.005,0.23214597317357183,-0.02406023582728096,1.3467834523309299,0.08,400,20,D_cvar_robust,B2_thompson,D: CVaR-Robust,B2: Thompson
D_cvar_robust,B3_epsilon_greedy,0.5442407776853935,0.167050569439725,1.1492864222688226,0.005,0.1237225287598775,0.04857769348153541,0.2016679728798711,0.005,0.25061873862984796,0.04081275171910794,1.6835317880346687,0.025,400,20,D_cvar_robust,B3_epsilon_greedy,D: CVaR-Robust,B3: Eps-Greedy
D_cvar_robust,C_supervised,0.44320761618516524,-0.05085122913013026,0.9661301968694861,0.065,0.11233763657289145,0.0342829028737329,0.18569044657919137,0.005,0.18117705250273747,-0.11337355743607337,1.1590975940882033,0.145,400,20,D_cvar_robust,C_supervised,D: CVaR-Robust,C: Supervised
D_cvar_robust,D_plus_convexity,-0.09705448263344485,-0.32518928031093086,0.11422739336463471,0.685,-0.007735189492071665,-0.05431490145303597,0.019427952921937146,0.79,-0.4330531267272856,-0.8187758711002348,0.22375600213806654,0.615,400,20,D_cvar_robust,D_plus_convexity,D: CVaR-Robust,D+: CVaR + Convexity
D_cvar_robust,H_mpc,0.33824295599608467,0.0064333777753944115,0.7390331821417161,0.05,0.14396801137475188,0.04070560463952306,0.2403998443547456,0.005,-0.14072239904782358,-0.550563977640785,0.4084877720324969,0.565,400,20,D_cvar_robust,H_mpc,D: CVaR-Robust,H: MPC
D_cvar_robust,E_council,0.1654952924041967,-0.049187099887103104,0.38572911246717967,0.11,0.05803526365691322,0.022296350376657663,0.08974002264781493,0.0,0.04557725086008313,-0.09816001745767683,0.6222639044890493,0.325,400,20,D_cvar_robust,E_council,D: CVaR-Robust,E: Council
D_cvar_robust,E_plus_convexity,0.15290582815314258,-0.14094573140016167,0.5153030321012599,0.31,0.061040652286946884,0.008809575550119738,0.11092506421019012,0.03,-0.03677180091313248,-0.47550576013365475,0.7965578361801278,0.855,400,20,D_cvar_robust,E_plus_convexity,D: CVaR-Robust,E+: Council + Convexity
D_cvar_robust,G_mlp_meta,0.22953434822882846,-0.019923611361301753,0.5019517990990874,0.08,0.07254719522929831,0.024575256456312634,0.11638880119104003,0.015,0.06231853370238094,-0.08042510258784717,0.8000228647243219,0.22,400,20,D_cvar_robust,G_mlp_meta,D: CVaR-Robust,G: MLP Meta
D_cvar_robust,G_plus_convexity,0.29108453623008346,-0.026567316027658428,0.6908358152172616,0.075,0.08439697713016188,0.02202990218896499,0.13713171828409582,0.0,0.06719985367734238,-0.3287721498769875,0.93556203549288,0.51,400,20,D_cvar_robust,G_plus_convexity,D: CVaR-Robust,G+: MLP Meta + Convexity
D_cvar_robust,F_cmdp_lagrangian,0.49988513811819285,0.03342006085712145,1.0203061277117906,0.035,0.11814496446829771,0.044865943499114685,0.18284436528894973,0.0,0.20385934121337745,-0.08758203684826736,1.2416566981852741,0.105,400,20,D_cvar_robust,F_cmdp_lagrangian,D: CVaR-Robust,F: CMDP-Lagrangian
D_cvar_robust,RL_q_learning,0.3371231113731693,-0.41185481093491205,1.239947174100183,0.455,0.06080934451372294,-0.020667151293700208,0.14380739318926156,0.135,0.1766118628041139,-0.9113004334262079,2.011554137863588,0.52,400,20,D_cvar_robust,RL_q_learning,D: CVaR-Robust,RL: Q-Learning
D_cvar_robust,SPY,0.3177887242708093,-0.03519507837205052,0.7014456035019758,0.1,0.05353665159805657,-0.017573544774297886,0.13489471268165337,0.16,0.21974889667330794,-0.11939022643699074,1.0401356420037018,0.165,400,20,D_cvar_robust,SPY,D: CVaR-Robust,SPY
D_plus_convexity,factor_only,0.45428610101235845,0.0036051185304881096,0.9448135284566826,0.05,0.09998494882895304,0.0264369201722472,0.1804334709278484,0.015,0.5624039049058995,-0.09228383020568476,1.413537825646486,0.09,400,20,D_plus_convexity,alpha_engine_no_control,D+: CVaR + Convexity,"No Control
(Alpha Engine)"
D_plus_convexity,A1_fixed,0.45008514746691,-0.006349369342505994,0.9227676550155637,0.065,0.10343595346649366,0.024668835842179906,0.18195029959070333,0.0,0.5436887565517312,-0.0645481978484638,1.3065527474077203,0.085,400,20,D_plus_convexity,A1_fixed,D+: CVaR + Convexity,A1: Fixed
D_plus_convexity,A2_vol_target,0.5457308811539971,0.05482201968148921,1.1091976511339314,0.02,0.13224032079775547,0.053455205125874705,0.22859485965808438,0.0,0.5054011128359399,-0.19534532461097248,1.4771273282820194,0.115,400,20,D_plus_convexity,A2_vol_target,D+: CVaR + Convexity,A2: Vol-Target
D_plus_convexity,A3_dd_delever,0.6430779743017567,0.1548871497707696,1.1370248726694845,0.035,0.13455648297282688,0.04837333775930671,0.22138670065008503,0.0,0.681351066559681,0.04866262508490866,1.5847446771626397,0.035,400,20,D_plus_convexity,A3_dd_delever,D+: CVaR + Convexity,A3: DD-Delever
D_plus_convexity,A4_regime_rules,0.4063964699329582,-0.05581964889133275,0.9604275131355945,0.11,0.10353765078816532,0.02831669291893718,0.18434325692221856,0.01,0.4372534645662325,-0.24646110906548022,1.3505892838994624,0.19,400,20,D_plus_convexity,A4_regime_rules,D+: CVaR + Convexity,A4: Regime Rules
D_plus_convexity,A5_ensemble_mean,0.5257830997253232,0.06865713199330538,1.0522558799664048,0.025,0.12207660124741618,0.04668137908408285,0.20789764751041664,0.0,0.5155311650467799,-0.07775016102629267,1.4892408622018698,0.075,400,20,D_plus_convexity,A5_ensemble_mean,D+: CVaR + Convexity,"A5: Ensemble
(mean)"
D_plus_convexity,B1_linucb,0.5283319891813458,0.09904041752018786,1.0063188574523607,0.015,0.11625490097635506,0.055597665776308654,0.1819164741224369,0.0,0.6095221343717534,-0.03437651487043017,1.2932000399726549,0.055,400,20,D_plus_convexity,B1_linucb,D+: CVaR + Convexity,B1: LinUCB
D_plus_convexity,B2_thompson,0.6102944752575492,0.2403724619971886,1.0442451263612855,0.005,0.1270693629300322,0.06132091695443575,0.19340998377555227,0.0,0.6651990999008575,0.11561818631677902,1.561389183392793,0.005,400,20,D_plus_convexity,B2_thompson,D+: CVaR + Convexity,B2: Thompson
D_plus_convexity,B3_epsilon_greedy,0.6412952603188383,0.22345935795740943,1.073824438547271,0.0,0.13145771825194918,0.06641686486093314,0.20103005124233073,0.0,0.6836718653571335,0.16587499584988488,1.4717715134433498,0.0,400,20,D_plus_convexity,B3_epsilon_greedy,D+: CVaR + Convexity,B3: Eps-Greedy
D_plus_convexity,C_supervised,0.5402620988186101,0.10399377123488346,0.9636653503412067,0.015,0.12007282606496311,0.0477676171254976,0.18710194811552053,0.0,0.6142301792300231,0.035164991054357365,1.403967508016315,0.035,400,20,D_plus_convexity,C_supervised,D+: CVaR + Convexity,C: Supervised
D_plus_convexity,D_cvar_robust,0.09705448263344485,-0.11323875196286773,0.3176721480531008,0.705,0.007735189492071665,-0.019122478389306495,0.051218793469740356,0.84,0.4330531267272856,-0.21046665388885707,0.855148542423018,0.61,400,20,D_plus_convexity,D_cvar_robust,D+: CVaR + Convexity,D: CVaR-Robust
D_plus_convexity,H_mpc,0.4352974386295295,0.07825887032872499,0.7498560460258643,0.015,0.15170320086682354,0.06149894212128097,0.2535973380434161,0.01,0.292330727679462,-0.7190731075643457,0.8672877300116014,0.71,400,20,D_plus_convexity,H_mpc,D+: CVaR + Convexity,H: MPC
D_plus_convexity,E_council,0.26254977503764154,0.021065335441887257,0.5086147787585611,0.025,0.06577045314898489,0.027426849154053846,0.11269104607117506,0.0,0.4786303775873687,-0.030627764286052777,0.9854780348782393,0.095,400,20,D_plus_convexity,E_council,D+: CVaR + Convexity,E: Council
D_plus_convexity,E_plus_convexity,0.24996031078658743,0.051501616800535346,0.4701901392693406,0.015,0.06877584177901855,0.0343656369503991,0.10925273453555256,0.0,0.3962813258141531,-0.018216879057512913,0.7284904455822012,0.06,400,20,D_plus_convexity,E_plus_convexity,D+: CVaR + Convexity,E+: Council + Convexity
D_plus_convexity,G_mlp_meta,0.3265888308622733,0.011003861145978526,0.6183684876562814,0.05,0.08028238472136998,0.025336332993397114,0.13690634510947722,0.01,0.4953716604296665,0.006362058142885343,1.0472905366934377,0.045,400,20,D_plus_convexity,G_mlp_meta,D+: CVaR + Convexity,G: MLP Meta
D_plus_convexity,G_plus_convexity,0.3881390188635283,0.1367946056229244,0.5948859042352874,0.0,0.09213216662223354,0.04428464514900643,0.13952848435419626,0.0,0.500252980404628,0.09802244190624447,0.9799752669888059,0.01,400,20,D_plus_convexity,G_plus_convexity,D+: CVaR + Convexity,G+: MLP Meta + Convexity
D_plus_convexity,F_cmdp_lagrangian,0.5969396207516378,0.1233020028566957,1.0563345013855276,0.005,0.1258801539603694,0.06602737644312066,0.1961122445198976,0.0,0.636912467940663,0.11584661351743965,1.4614658223701875,0.015,400,20,D_plus_convexity,F_cmdp_lagrangian,D+: CVaR + Convexity,F: CMDP-Lagrangian
D_plus_convexity,RL_q_learning,0.25063754709324815,-0.4854472008757843,1.188551793062437,0.52,0.048587135034405815,-0.034420395405053726,0.13456141059658858,0.285,0.09308317928126464,-0.9690046867302355,1.6165687373907203,0.62,400,20,D_plus_convexity,RL_q_learning,D+: CVaR + Convexity,RL: Q-Learning
D_plus_convexity,SPY,0.41484320690425414,-0.015830885491173986,0.8834485147527078,0.065,0.06127184109012823,-0.01935416456786774,0.17534235664832323,0.165,0.6528020234005936,-0.09615086524331795,1.3248518480582314,0.095,400,20,D_plus_convexity,SPY,D+: CVaR + Convexity,SPY
